Fecha_Captura,Ticker,Precio_Actual,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas,Volumen,Prom. volumen,Capitalización de mercado (intradía),Beta (5 años al mes),Ratio precio/beneficio (TMTM),BPA (TTM):,Fecha de beneficios,Previsión de rentabilidad y dividendo,Fecha de exdividendo,Objetivo est 1a
2026-02-27 18:08:25,AAPL,"266,97","272,95","272,81","266,49 x 200","273,97 x 400","266,75 - 272,81","169,21 - 288,62",17.282.422,47.560.388,"3,924B","1,11","33,84","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"293,07"
2026-02-27 18:08:34,TSLA,"400,09","408,58","402,94","400,14 x 200","418,00 x 200","399,03 - 407,11","214,25 - 498,83",29.771.597,65.798.026,"1,501B","1,89","377,46","1,06",21 abr 2026,--,--,"421,73"
2026-02-28 01:22:02,AAPL,"264,18","272,95","272,81","263,07 x 1000","264,43 x 200","262,89 - 272,81","169,21 - 288,62",71.592.273,47.560.388,"3,883B","1,11","33,48","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"293,07"
2026-02-28 01:22:12,TSLA,"402,51","408,58","402,94","402,25 x 200","402,90 x 100","398,12 - 407,11","214,25 - 498,83",56.415.999,65.798.026,"1,51B","1,89","379,73","1,06",21 abr 2026,--,--,"421,73"
2026-03-01 01:50:19,AAPL,"264,18","272,95","272,81","263,07 x 1000","264,43 x 200","262,89 - 272,81","169,21 - 288,62",59.494.114,48.445.871,"3,883B","1,11","33,44","7,90",30 abr 2026,"1,04 (0,39%)",9 feb 2026,"293,07"
2026-03-01 01:50:29,TSLA,"402,51","408,58","402,94","402,25 x 200","402,90 x 100","398,12 - 407,11","214,25 - 498,83",56.415.999,66.280.905,"1,51B","1,89","369,28","1,09",21 abr 2026,--,--,"421,73"
2026-03-02 01:29:51,AAPL,"264,18","272,95","272,81","263,07 x 1000","264,43 x 200","262,89 - 272,81","169,21 - 288,62",59.494.114,48.445.871,"3,883B","1,11","33,44","7,90",30 abr 2026,"1,04 (0,39%)",9 feb 2026,"293,07"
2026-03-02 01:30:00,TSLA,"402,51","408,58","402,94","402,25 x 200","402,90 x 100","398,12 - 407,11","214,25 - 498,83",56.890.097,66.280.905,"1,51B","1,89","369,28","1,09",21 abr 2026,--,--,"421,73"
2026-03-03 01:45:06,AAPL,"264,72","264,18","262,44","264,45 x 100","265,05 x 200","260,20 - 266,53","169,21 - 288,62",41.576.035,48.440.415,"3,891B","1,11","33,42","7,92",30 abr 2026,"1,04 (0,39%)",9 feb 2026,"293,07"
2026-03-03 01:45:15,TSLA,"403,32","402,51","390,32","403,06 x 200","414,20 x 100","388,25 - 404,54","214,25 - 498,83",52.697.218,66.229.113,"1,513B","1,89","370,02","1,09",21 abr 2026,--,--,"421,73"
2026-03-04 01:27:50,AAPL,"263,75","264,72","263,48","263,50 x 100","276,41 x 100","260,13 - 265,56","169,21 - 288,62",34.853.681,48.329.683,"3,877B","1,12","33,43","7,89",30 abr 2026,"1,04 (0,39%)",9 feb 2026,"293,29"
2026-03-04 01:27:58,TSLA,"392,43","403,32","395,09","392,18 x 200","392,79 x 200","385,40 - 396,34","214,25 - 498,83",62.317.429,65.680.132,"1,473B","1,93","360,03","1,09",21 abr 2026,--,--,"420,90"
2026-03-05 01:29:50,AAPL,"262,52","263,75","264,65","262,13 x 200","272,94 x 500","261,42 - 266,15","169,21 - 288,62",39.258.957,48.236.911,"3,858B","1,12","33,19","7,91",30 abr 2026,"1,04 (0,39%)",9 feb 2026,"293,29"
