Fecha_Captura,Ticker,Precio_Actual,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas
2026-02-27 18:08:43,EURUSD=X,"1,1816","1,1804","1,1802","1,1786 x --","1,1779 x --","1,1794 - 1,1830","1,0382 - 1,2024"
2026-02-28 01:22:22,EURUSD=X,"1,1818","1,1804","1,1802","1,1786 x --","1,1779 x --","1,1794 - 1,1830","1,0382 - 1,2024"
2026-03-01 01:50:39,EURUSD=X,"1,1818","1,1804","1,1802","1,1786 x --","1,1779 x --","1,1794 - 1,1830","1,0390 - 1,2024"
2026-03-02 01:30:08,EURUSD=X,"1,1785","1,1818","1,1798","1,1799 x --","1,1792 x --","1,1762 - 1,1837","1,0390 - 1,2024"
2026-03-03 01:45:23,EURUSD=X,"1,1701","1,1692","1,1692","1,1799 x --","1,1792 x --","1,1690 - 1,1710","1,0390 - 1,2024"
2026-03-04 01:28:07,EURUSD=X,"1,1578","1,1617","1,1613","1,1799 x --","1,1792 x --","1,1579 - 1,1624","1,0472 - 1,2024"
2026-03-05 01:30:11,EURUSD=X,"1,1646","1,1637","1,1639","1,1799 x --","1,1792 x --","1,1636 - 1,1650","1,0603 - 1,2024"
2026-03-06 01:44:11,EURUSD=X,"1,1615","1,1616","1,1614","1,1799 x --","1,1792 x --","1,1608 - 1,1620","1,0742 - 1,2024"
2026-03-07 01:25:32,EURUSD=X,"1,1621","1,1616","1,1614","1,1799 x --","1,1792 x --","1,1551 - 1,1625","1,0742 - 1,2024"
2026-03-08 01:42:37,EURUSD=X,"1,1621","1,1616","1,1614","1,1799 x --","1,1792 x --","1,1551 - 1,1625","1,0742 - 1,2024"
2026-03-09 01:44:21,EURUSD=X,"1,1518","1,1621","1,1618","1,1621 x --","1,1614 x --","1,1514 - 1,1620","1,0742 - 1,2024"
2026-03-10 01:26:05,EURUSD=X,"1,1620","1,1636","1,1636","1,1621 x --","1,1614 x --","1,1616 - 1,1648","1,0742 - 1,2024"
2026-03-11 01:26:21,EURUSD=X,"1,1622","1,1614","1,1616","1,1617 x --","1,1610 x --","1,1606 - 1,1628","1,0742 - 1,2024"
2026-03-12 01:26:10,EURUSD=X,"1,1553","1,1570","1,1570","1,1617 x --","1,1610 x --","1,1538 - 1,1578","1,0742 - 1,2024"
2026-03-13 01:29:50,EURUSD=X,"1,1525","1,1517","1,1514","1,1617 x --","1,1610 x --","1,1514 - 1,1533","1,0742 - 1,2024"
2026-03-14 01:28:14,EURUSD=X,"1,1423","1,1517","1,1514","1,1621 x --","1,1614 x --","1,1414 - 1,1533","1,0742 - 1,2024"
2026-03-15 01:53:48,EURUSD=X,"1,1423","1,1517","1,1514","1,1621 x --","1,1614 x --","1,1414 - 1,1533","1,0742 - 1,2024"
2026-03-16 01:54:55,EURUSD=X,"1,1448","1,1423","1,1405","1,1423 x --","1,1417 x --","1,1405 - 1,1459","1,0742 - 1,2024"
2026-03-17 01:43:58,EURUSD=X,"0,1578","0,1556","0,1568","0,1580 x --","0,1578 x --","0,1538 - 0,1588","0,1156 - 0,2070",5.618.806,15.291.636,"452,839M","0,69",∞,"0,0000",--,--,1 jul 2009,"0,19"
2026-03-18 01:48:12,EURUSD=X,"1,1538","1,1542","1,1542","1,1423 x --","1,1417 x --","1,1537 - 1,1547","1,0742 - 1,2024"
2026-03-19 01:48:38,EURUSD=X,"1,1479","1,1469","1,1469","1,1423 x --","1,1417 x --","1,1455 - 1,1486","1,0742 - 1,2024"
2026-03-20 01:43:14,EURUSD=X,"1,1567","1,1589","1,1593","1,1423 x --","1,1417 x --","1,1570 - 1,1600","1,0742 - 1,2024"
2026-03-21 01:26:08,EURUSD=X,"1,1575","1,1589","1,1593","1,1423 x --","1,1417 x --","1,1527 - 1,1600","1,0742 - 1,2024"
2026-03-22 01:47:43,EURUSD=X,"1,1575","1,1589","1,1593","1,1575 x --","1,1569 x --","1,1527 - 1,1600","1,0742 - 1,2024"
2026-03-23 01:49:13,EURUSD=X,"1,1557","1,1575","1,1558","1,1575 x --","1,1569 x --","1,1537 - 1,1578","1,0742 - 1,2024"
2026-03-24 01:29:15,EURUSD=X,"1,1590","1,1617","1,1618","1,1575 x --","1,1569 x --","1,1587 - 1,1621","1,0742 - 1,2024"
2026-03-25 01:47:04,EURUSD=X,"1,1618","1,1612","1,1613","1,1575 x --","1,1569 x --","1,1609 - 1,1633","1,0742 - 1,2024"
2026-03-26 01:52:58,EURUSD=X,"1,1564","1,1565","1,1565","1,1575 x --","1,1569 x --","1,1558 - 1,1570","1,0742 - 1,2024"
2026-03-27 01:53:04,EURUSD=X,"1,1537","1,1539","1,1539","1,1575 x --","1,1569 x --","1,1527 - 1,1543","1,0742 - 1,2024"
2026-03-28 01:45:04,EURUSD=X,"1,1510","1,1539","1,1539","1,1575 x --","1,1569 x --","1,1505 - 1,1550","1,0742 - 1,2024"
2026-03-29 01:55:39,EURUSD=X,"1,1510","1,1539","1,1539","1,1575 x --","1,1569 x --","1,1505 - 1,1550","1,0742 - 1,2024"
2026-03-30 01:58:15,EURUSD=X,"1,1505","1,1510","1,1513","1,1510 x --","1,1504 x --","1,1492 - 1,1515","1,0742 - 1,2024"
2026-03-31 01:53:52,EURUSD=X,"1,1480","1,1467","1,1465","1,1510 x --","1,1504 x --","1,1452 - 1,1493","1,0742 - 1,2024"
